message_id,message,topic,reason,economic_narrative,narrative_strength,economic_effect,information_resonance
4c0cd67b-8778-4390-9f0c-47ae18911bc6,"Путин заявил о необходимости активнее наращивать прямое авиасообщение между регионами, сообщил, что за 6 лет планируется модернизировать не менее 75 аэропортов, на эти цели направят 250 млрд руб",Государственная экономическая политика,"Новость описывает государственное финансирование инфраструктурного проекта — выделение 250 млрд руб на модернизацию аэропортов, что относится к госэкономической политике.",0,0.0,0.5,0.25
62585fc3-6192-48e1-9d2c-b2a0d827ce53,"Швейцария не может кредитовать Украину за счет заблокированных активов России, поскольку у страны нет непредвиденных прибылей от них. 

Об этом заявил официальный представитель государственного секретариата экономики (SECO) Фабиан Майенфиш.",Санкции и геополитика,Новость описывает экономический эффект санкций — невозможность использовать замороженные российские активы для кредитования Украины.,0,0.0,0.0,0.0
303ceea7-c5cb-44e2-9e13-bb7d71bef723,"Трамп заявил, что Соединенные Штаты подписали 25 июня торговую договоренность с Китаем. 

По его словам, американские власти планируют заключить схожую сделку с Индией. Деталей сделки президент США не привел.",Международная торговля,"Новость сообщает о подписании торговой договорённости США с Китаем и планах аналогичной сделки с Индией, что относится к международной торговле.",0,0.0,0.25,0.0
d5736346-6485-433a-8bcb-972f9747a8e3,Более 5 тысяч россиян зарабатывают свыше 3 млн рублей в месяц — Росстат. @bankrollo,Макроэкономика,"Новость сообщает статистику о доходах населения, что является макроэкономическим показателем.",1,0.5,0.0,0.5
8ee92a58-8eba-48e3-b34f-a79b664155e1,"У российских инвесторов появилась альтернатива облигациям и инвестициям в валюту: запущен первый в России биржевой фонд рентной недвижимости. #аналитика

Новый ЗПИФ, торгуемый на бирже, даст инвесторам возможность инвестировать в жилые объекты недвижимости в Москве и получать с них рентный доход с ежеквартальной выплатой. ЗПИФ состоит из объектов недвижимости от застройщика Самолет.

По мнению источника РДВ, новый инструмент даст инвесторам доходность с привязкой к инфляции и опцион на переоценку в случае смягчения ДКП.

Основные параметры фонда:
✍️ Горизонт фонда 5 лет, но пай можно продать в любой момент на бирже.
✍️ Размер фонда 3.1 млрд рублей или 9.8 тыс. кв.м. квартир.
✍️ Фонд диверсифицирован по типу недвижимости: половина приходится на объекты эконом-класса, половина - на премиум и бизнес.
✍️ Вкладчики ЗПИФа могут обменять свои паи на реальные объекты недвижимости или использовать их в счёт оплаты квартиры.

Ожидания по доходности:
+3% годовых доходность от скидки (Самолет продаёт объекты в ЗПИФ со скидкой 18% от розничных цен)
+7-8% годовых доходность от сдачи в найм (как показывает история, ставка найма растёт вместе с инфляцией) https://t.me/AK47pfl/19742
+ инфляция+2% исторический рост стоимости жилой недвижимости (недвижимость - актив, который лучше других защищает от инфляции https://t.me/AK47pfl/19729)
- 3% комиссия за управление фондом
👉 Итого: фонд может обеспечить инвесторам доходность ""инфляция+9-10%""

Мнение источников РДВ:
✍️ В долгосроке цена жилья и аренда растут быстрее инфляции.
✍️ Тактически: из-за жесткой ДКП упал не только спрос на квартиры в моменте, но упадет и их предложение в будущем (т.к. застройщики сейчас запускают меньше проектов). Это может привести к росту цен на горизонте фонда.
✍️ Фонд может занять в портфелях место длинных облигаций, так как предложение жилья ограничено в отличие от предложения ОФЗ, и исторически стоимость жилья растёт вместе с инфляцией

👉 Подробнее о ЗПИФе: https://samolet.ru/lp/funds
👉 Окончание размещения 29 апреля.

Аналитика by 😀 @AK47pfl",Рынки капитала,"Новость описывает запуск нового биржевого фонда недвижимости, его параметры, доходность и роль на рынке инвестиций, что относится к рынкам капитала.",0,0.0,0.0,0.0
6335a711-77ab-4621-b163-7ea932a74dde,"Торможение экономики и слабый спрос на автомобили вынуждает автодилеров сокращать количество точек продаж и контрактов с брендами и отказываться от работы с автомобилями с пробегом. По прогнозу экспертов, до конца года могут быть закрыты почти 20% автосалонов",Макроэкономика,"Новость описывает замедление экономики и падение спроса, что приводит к закрытию автосалонов, что является макроэкономическим явлением.",1,0.5,-0.75,0.5
6f0cb31d-4186-4d77-a67b-8a478012a16a,"Глава Еврокомиссии Урсула фон дер Ляйен согласилась на «ужасную для ЕС» торговую сделку с США из опасений, что президент Дональд Трамп может «нанести ущерб европейской безопасности», пишет The Times со ссылкой на экспертов. По данным издания, в Евросоюзе допускали, что в случае отказа от сделки Трамп также сократит военную помощь Украине",Международная торговля,"Новость описывает согласование торговой сделки между ЕС и США, что относится к международной торговле, несмотря на политический контекст.",1,0.75,-0.25,0.25
700c879c-7868-48d7-8578-21b601022337,"#Макро #Прогноз
Инфляция к концу 2024 года поднимется до 9% вместо прогнозируемых Банком России 8-8.5% — консенсус-прогноз Известий",Макроэкономика,"Текст содержит конкретный прогноз инфляции, ключевой макроэкономический показатель, с указанием цифр и прогноза Банка России.",1,0.5,0.0,0.5
fc00fd7b-d0d4-482a-9647-c72b9daa8317,"Крупнейший производитель цемента в России, компания «ЦЕМРОС», объявил о временном переходе на четырехдневную рабочую неделю. 

Данное решение коснется сотрудников управляющей компании и всех заводов холдинга с 1 октября 2025 года. Причиной такого шага стало продолжающееся падение спроса на цементную продукцию на внутреннем рынке, а также рост доли импортного цемента, что оказывает негативное влияние на производственные показатели компании.",Корпоративные финансы,"Новость описывает стратегическое решение крупного производителя цемента, обусловленное падением спроса и ростом импорта, что относится к корпоративным финансовым вопросам.",0,0.1,-0.3,0.2
6374a963-09af-4d33-a1c6-23b13557c129,"Фирменной звезды Mercedes-Benz больше не будет — производитель эмблем для немецких автомобилей сообщил о банкротстве. Компания Gerhardi Kunststofftechnik GmbH, пережившая вторжение Наполеона, Великую депрессию и две мировые войны, не смогла справиться с санкциями Китая.

🔵 Bloomberg",Корпоративные финансы,"Новость сообщает о банкротстве компании, что является событием корпоративных финансов, при этом упоминает санкции как причину.",1,0.5,-0.5,0.25
767ebac4-a577-462f-889c-2efeba335907,"Чешуя и хвост: почему аквакультура не справляется с потребностью России в лососях

У аквакультурного бизнеса внушительная рентабельность и хорошие перспективы в России: при росте доходов населения и запуске новых производств за 10 лет производство может вырасти в полтора раза. 

Пока же мощности существующих компаний удовлетворяют немногим более половины спроса, а существующие в отрасли риски отпугивают инвесторов. 

Forbes разбирался, что мешает российской аквакультуре и какие претензии к этому бизнесу есть у населения северных регионов

📸: Лососевые фермы в Баренцевом море. (Фото Максима Стулов / Ведомости / ТАСС)",Корпоративные финансы,"Новость описывает рентабельность, инвестиционные риски и перспективы роста аквакультурного бизнеса, что относится к корпоративным финансовым аспектам.",0,0.0,-0.5,0.0
09d5e6fc-2639-49aa-9f5e-6af4f90bc0f6,"Макрон и Моди вместе приехали в Марсель, открыли индийское консульство, а затем отправились осматривать Международный термоядерный экспериментальный реактор.

Французские СМИ пишут, что Париж надеется продвинуться вперед в многомиллиардных переговорах по покупке Нью-Дели истребителей Rafale и подводных лодок Scorpène.",Государственная экономическая политика,"Новость описывает многомиллиардные переговоры о закупке военной техники, что является значительным государственным расходом и экономическим событием.",0,0.0,0.25,0.0
136ca59f-7ea4-46d2-a4af-40fc86f6da44,"©️ ИДЕЯ ©️
⭐️ Совкомбанк⭐️
Тикер: SVCB
Цель: 14 руб (+11%)
Срок: январь
Текущая цена: 12,66 руб

🧠 Мозговой центр Сигналов открывает идею, лонг по акциям Совкомбанка, под выкуп бумаги по средневзвешенной за 6 месяцев (около 14 рублей).

Акционеры Совкомбанка 28 января рассмотрят вопрос о допэмиссии акций в рамках присоединения ХКФ банка и реорганизации компании. 

Реорганизация дает право акционерам требовать выкупа акций по средневзвешенной цене за 6 месяцев — примерно по 14 рублей.

#SVCB #Идея
Дисклеймер @cbrstocks",Рынки капитала,"Новость посвящена рекомендациям по покупке акций и обсуждению возможной допэмиссии, что относится к рынкам капитала.",0,0.0,0.0,0.0
fe77867a-8aca-4038-ae02-0d7e6eb8277c,"Государственные нефтяные компании и частные нефтеперерабатывающие заводы Китая начали в срочном порядке скупать нефть, поскольку ужесточение санкций США против России и Ирана угрожают ограничить поставки в краткосрочной перспективе. 

Как сообщило Bloomberg со ссылкой на источники, наиболее востребованной стала нефть с Ближнего Востока, из Африки и Южной Америки.",Сырьевые рынки,"Новость описывает активные закупки нефти китайскими компаниями в ответ на ужесточение санкций, что относится к рынку сырьевых товаров.",1,0.5,-0.5,0.5
2018d73a-6e29-4516-8f1f-e2bfb8eb9305,"Rystad Energy: Индия продолжит закупать российскую нефть из-за ее качества

👉 Полная новость

Замечено Шпионом РЦБ.
Подключить: @StockSpy_bot",Сырьевые рынки,"Новость сообщает о планах Индии закупать российскую нефть, что относится к рынку сырья (нефть) и международной торговле.",0,0.0,0.4,0.1
bc9fbec7-680e-4bd5-b8dc-b483e81bbab3,"ФРС снизила ключевую ставку на 50 базисных пунктов — до 4,75–5%. Это первое понижение с 2020 года. Федеральное агентство не меняло ставку с лета 2023-го, показатель находился на уровне 5,25–5,5%. Решение регулятора было ожидаемым, однако не все экономисты прогнозировали изменение на 50 базисных пунктов, пишет Bloomberg. О необходимости снизить процентные ставки глава ФРС говорил еще в конце августа",Макроэкономика,"Новость описывает решение Федеральной резервной системы по снижению ключевой процентной ставки, что является центральным макроэкономическим событием.",1,0.5,0.5,0.5
b1c20629-e35e-4e14-a3ce-388db1e068aa,"Курс рубля к доллару сейчас переоценен, учитывая ситуацию на рынке нефти и макроэкономические факторы, заявил первый зампред правления «Сбера» Александр Ведяхин. «Если бы все было относительно сбалансировано (...), он должен был бы быть на уровне 90-95 рубля за доллар», — считает представитель банка",Валютный рынок,"Текст обсуждает курс рубля к доллару и упоминает макроэкономические и сырьевые факторы, что является явным экономическим содержанием, а основной фокус – валютный курс.",1,0.75,-0.5,0.5
c346d89e-d491-42be-a94a-b469eb8495e6,"#GMKN
⚡️ Росимущество требует взыскать с Норникеля 3.5 млрд руб за пользование жд-объектами — Интерфакс",Корпоративные финансы,"Новость сообщает о требовании государства к компании выплатить крупную сумму за использование инфраструктуры, что относится к корпоративным финансовым обязательствам.",0,0.1,-0.1,0.1
756492dd-99ce-4bdc-8f4a-bccb9c12c506,"У российских госкомпаний из-за санкций начались проблемы с выплатой зарплат сотрудникам за рубежом, узнал Коммерсантъ. 

Из-за невозможности провести платежи через банковскую систему проблему приходится решать с помощью чемоданов наличной валюты. «Кэш» в валютах «недружественных» стран используется не только для зарплат, но и на покрытие текущих расходов, говорят источники газеты. 

🔵 Bloomberg",Санкции и геополитика,"Новость описывает, как санкции препятствуют выплату зарплат российским госкомпаниям за рубежом, что является экономическим последствием санкций.",1,0.5,0.0,0.5
f4a17658-6066-4cd6-8d7b-6794d9a5a00f,"США вывели из-под санкций финоперации с новыми властями Сирии, сделки по энергоресурсам, в том числе через ее ЦБ, сообщил американский Минфин. Послабление санкций США не распространяется на ее сделки, связанные с Россией и Ираном, отметили в министерстве.

🤑 The Экономист",Санкции и геополитика,"Новость описывает изменение санкционного режима США, влияющего на финансовые операции и сделки с энергоресурсами, что имеет явный экономический эффект.",1,0.0,0.5,0.5
7ab2fe28-7aba-40ed-ab25-dad17c27b8e0,"Президент Дональд Трамп и его близкие «сделали для монетизации президентства больше, чем кто-либо из тех, кто когда-либо занимал Белый дом», пишет The New York Times (NYT), анализируя приобретения Трампов в период второго срока главы государства.

Газета указывает, что семья добилась следующих финансовых успехов:

• получила $320 млн комиссионных от новых криптовалют (свои монеты выпустил и Трамп, и его жена Меланья);
• заключила за рубежом сделки с недвижимостью на миллиарды долларов;
• открывает в Вашингтоне эксклюзивный клуб Executive Branch со вступительным взносом $500 тыс.;
• получила от Катара роскошный самолет, стоимость которого оценивается в $200 млн и который Трамп будет использовать в президентство, а затем лайнер перейдет во владение его президентской библиотеки, и т. д.
𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸",Другое,"Новость содержит конкретные финансовые данные о доходах и сделках семьи президента, что является существенным экономическим содержанием, но не попадает в другие категории.",0,0.1,0.0,0.2
69e36fee-f01c-4d6d-945f-0ead9fc0e31b,"#Макро
Глава РФПИ ожидает существенный рост иностранных инвестиций в 2025 г. в экономику РФ

Многие западные инвесторы будут пытаться восстанавливать позиции в России, проявляют высокий интерес к этому",Макроэкономика,"Новость содержит прогноз значительного роста иностранных инвестиций, что является макроэкономическим индикатором состояния экономики.",0,0.0,0.5,0.5
eb7cf63e-f548-4395-a4a7-14b1f0224d75,"Министерство финансов России ожидает, что дополнительные нефтегазовые доходы бюджета РФ в марте 2025 года составят 57,2 млрд руб., говорится в сообщении министерства.",Государственная экономическая политика,"Новость сообщает о прогнозе дополнительных нефтегазовых доходов в бюджет, что относится к государственным финансовым планам.",0,0.0,0.25,0.0
f9afe0ab-543a-4763-9420-3a61cad2be75,"#GAZP
Газпром и NIGC превратят Иран в газовый хаб — и. о. президента Ирана",Сырьевые рынки,"Новость сообщает о планах Газпрома и NIGC создать газовый хаб в Иране, что напрямую относится к рынку сырья (природный газ).",0,0.0,0.0,0.0
489da7c0-39bc-4c23-8c4b-c527e5eb4da6,"#Нефтянка #Макро
🇷🇺 Доходы РФ в виде налогов от продажи нефти выросли почти на треть в 2024 году — Bloomberg

Налоговые доходы в 2024 году составили 9.19 трлн руб (7.04 трлн годом ранее) за счет роста стоимости цены нефти Urals и слабого рубля. 

Москва адаптировалась к ограничениям, включая запрет Европейского союза на импорт российской нефти, используя огромный теневой флот танкеров и перенаправляя продажи нефти азиатским клиентам.",Сырьевые рынки,"Новость содержит факты о росте налоговых доходов от нефти, ценах на нефть и влиянии санкций, что явно относится к рынку сырья.",0,0.0,0.25,0.0
0940d500-4061-4175-8885-4c8e7042067b,"Правительство планирует увеличить пособие по уходу за ребенком до полутора лет, которое получают родители в декрете, пишет РБК. Ожидается, что выплаты будут увеличены в два этапа: до 50% от среднего заработка с 2025 года и до 60% от среднего заработка — с 2026-го. Эксперты утверждают, что эти меры могут мотивировать некоторые семьи заводить детей, однако таких семей будет немного",Государственная экономическая политика,"Новость описывает правительственное решение увеличить социальные выплаты, что является мерой государственной экономической политики.",0,0.0,0.5,0.5
4b5f20a3-fadc-4d7a-a650-24d69f701ae4,"#GAZP
Лидеры ЕС и президент Украины обсудят продление транзита российского газа",Международная торговля,"Новость описывает обсуждение продления транзита российского газа между странами, что относится к международной торговле энергоресурсов.",0,0.1,0.1,0.3
19ef5b12-461a-4fa6-816d-6c3ae01bada4,"Власти Китая хотят усилить влияние юаня на глобальной арене и ради этого готовы рассмотреть возможность запуска стейблкоина, привязанного к этой валюте. 

Китай хочет, чтобы юань стал полноценной глобальной валютой, как доллар и евро. Пока успехи в этом направлении у юаня весьма скромные. По итогам мая 2025 года доля китайской валюты в международной торговле составила 2,9%. 

Стать полноценной международной валютой юаню мешает прежде всего жесткий контроль за движением капитала, указывает Reuters. Запуск стейблкоина, обеспеченного юанем, по замыслу китайских властей, поможет укрепить глобальное влияние этой валюты.

Подробнее о том, зачем Китаю понадобилась своя криптовалюта — в нашем материале 

📸: Reuters Connect",Валютный рынок,"Новость посвящена планам Китая выпустить юань‑привязанный стейблкоин, что напрямую относится к валютному рынку и международной финансовой политике.",0,0.0,0.1,0.3
